Frammåt euler nogranhetstabell
__________________________________________________________________
h            u_h           u_h-u_(h/2)    kvot          ordning
1.000000     0.000573      -0.000056       2.685329      1.425099
0.500000     0.000649      -0.000010       1.988731      0.991848
0.250000     0.000665      -0.000003       1.997204      0.997982
0.125000     0.000669      -0.000001       1.999302      0.999497
0.062500     0.000670      -0.000000       1.999826      0.999874
0.031250     0.000670      -0.000000       1.999956      0.999969
0.015625     0.000670      -0.000000       1.999989      0.999992
0.007812     0.000670      -0.000000       1.999997      0.999998
0.003906     0.000670      -0.000000       1.999998      0.999998



Runge-Kutta4 nogranhetstabell
__________________________________________________________________
h            u_h           u_h-u_(h/2)    kvot          ordning
1.000000     0.000670      0.000000       16.350539      4.031266
0.500000     0.000670      0.000000       16.086102      4.007743
0.250000     0.000670      0.000000       15.927139      3.993415
0.125000     0.000670      0.000000       -2.027778      1.019900
0.062500     0.000670      0.000000       3.666667      1.874469
0.031250     0.000670      -0.000000       -0.694915      -0.525091
0.015625     0.000670      -0.000000       -1.655832      0.727556
0.007812     0.000670      0.000000       0.250919      -1.994706
0.003906     0.000670      -0.000000       -1.899927      0.925944
